COURSE #,TITLE/START DATE,CAPACITY,# OF STUDENTS,STATUS,INSTRUCTOR,FEE,Min Cred,Max Cred,COREQ CRS,XLIST CRS,Section,Start Time,End Time,Meeting Days,Bldg,Room
GCIS_698_0B,Directed Research,4,3,Open,Mr J Cannell,,3.00,0.00,,,0B,03:00PM,04:30PM,F,BY-,ARR
GCIS_698_0C,Directed Research,4,6,Clsd,Dr S Frezza,,3.00,0.00,,,0C,01:30PM,04:30PM,F,BY-,ARR
GCIS_698_0D,Directed Research,4,5,Clsd,Dr Y Liu,,3.00,0.00,,,0D,01:30PM,04:30PM,F,BY-,ARR
GCIS_698_0E,Directed Research,4,1,Open,Dr S Sasi,,3.00,0.00,,,0E,01:30PM,04:30PM,F,BY-,ARR
GCIS_698_0F,Directed Research,4,0,Open,Dr M Tang,,3.00,0.00,,,0F,01:30PM,04:30PM,F,BY-,ARR
GCIS_698_0G,Directed Research,4,3,Open,Dr T Vitolo,,3.00,0.00,,,0G,02:30PM,03:30PM,F,Z,447
GCIS_698_0H,Directed Research,4,4,Clsd,Dr F Xu,,3.00,0.00,,,0H,01:30PM,04:30PM,F,BY-,ARR
GCIS_698_0I,Directed Research,4,4,Clsd,Mr M Blair,,3.00,0.00,,,0I,01:30PM,04:30PM,F,BY-,ARR
GCIS_799_0A,Thesis,10,3,Open,Dr S Sasi,,3.00,6.00,,,0A,,,,BY-,ARR
,,,,,,,,,,,,,,,,
