Course,Sect,Title,X-List to,Cred,# of,Instructor,Room,Time,,,,,,,,,,,,,,,,,,,,
GCIS 514,0A,Requirements & Project Management,CIS 350,3,20,Dr S Frezza,Zurn Classroom,"MWF 10:10-11:05",,,,,,,,,,,,,,,,,,,,
GCIS 514,0B,Requirements & Project Management,--,3,20,Ms V Grande,Zurn Classroom,"TTH 12:00-01:20",,,,,,,,,,,,,,,,,,,,
GCIS 516,0A,Data Centric Concepts and Methods,--,3,20,Mr M Blair,Z 335,"TTH 04:30-05:50",,,,,,,,,,,,,,,,,,,,
GCIS 522,0A,Advanced Programming: Android,CIS 391,3,20,Dr Y Liu,Z 355,"TTH 01:30-02:50",,,,,,,,,,,,,,,,,,,,
GCIS 523,0A,Statistical Computing,--,3,20,Dr Y Liu,Z 355,"MW 06:00-07:20",,,,,,,,,,,,,,,,,,,,
GCIS 531,0A,Distributed Programming,CIS 390,3,20,Dr B Brinkman,Z 335,"MWF 09:05-10:00",,,,,,,,,,,,,,,,,,,,
GCIS 533,0A,Software Patterns and Architecture,CIS 318,3,20,Dr M-H Tang,Zurn classroom,"TTH 12:00-01:20",,,,,,,,,,,,,,,,,,,,
GCIS 544,0A,Data Mining Concepts and Techniques,--,3,20,Dr S Sasi,Z 336,"MW 03:00-04:20",,,,,,,,,,,,,,,,,,,,
GCIS 595,0A,Advanced Multimedia,CIS 445,3,20,Mr J Cannell,Z 335,"TTH 01:30-02:50",,,,,,,,,,,,,,,,,,,,
GCIS 605,0A,Scholarship Seminar,--,1,15,Dr Y Liu,Zurn classroom,"WF 12:10-01:30",,,,,,,,,,,,,,,,,,,,
GCIS 644,0A,Knowledge-Based Systems,--,3,20,Dr T Vitolo,Z 336,"TTH 04:30-05:50",,,,,,,,,,,,,,,,,,,,
GCIS 695,0A,Independent Study,--,3,1,Dr S Sasi,BY-ARR,BY-ARR,,,,,,,,,,,,,,,,,,,,
GCIS 697,0A,Directed Project,,1,4,Dr M-H Tang,BY-ARR,BY-ARR,,,,,,,,,,,,,,,,,,,,
GCIS 698,0A,Directed Research,--,3,4,Dr B Brinkman,BY-ARR,"F 01:30-02:30",,,,,,,,,,,,,,,,,,,,
GCIS 698,0B,Directed Research,--,3,4,Mr J Cannell,BY-ARR,"F 03:00-04:30",,,,,,,,,,,,,,,,,,,,
GCIS 698,0C,Directed Research,--,3,4,Dr S Frezza,BY-ARR,"F 01:30-04:30",,,,,,,,,,,,,,,,,,,,
GCIS 698,0D,Directed Research,--,3,4,Dr Y Liu,BY-ARR,"F 01:30-04:30",,,,,,,,,,,,,,,,,,,,
GCIS 698,0E,Directed Research,--,3,4,Dr S Sasi,BY-ARR,"F 01:30-04:30",,,,,,,,,,,,,,,,,,,,
GCIS 698,0F,Directed Research,--,3,4,Dr M-H Tang,BY-ARR,"F 01:30-04:30",,,,,,,,,,,,,,,,,,,,
GCIS 698,0G,Directed Research,--,3,4,Dr T Vitolo,BY-ARR,"F 01:30-02:30",,,,,,,,,,,,,,,,,,,,
GCIS 698,0H,Directed Research,--,3,4,Mr M Blair,BY-ARR,"F 01:30-04:30",,,,,,,,,,,,,,,,,,,,
GCIS 799,0A,Thesis,--,6,1,Dr Y Liu,BY-ARR,BY-ARR,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
