Course Outcomes vs. Program Outcomes Curriculum Matrix ,,,,,,,,,,,,,,,,,,,,,,,,
Department: GCIS,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2012,,,,,,,,,,,,,,,,,,,,,,,,
,,GCIS Program Wide Outcomes,,,,,,,,,Applied Computer Science-Specific Outcomes ,,,Information Systems-Specific Outcomes ,,,,Software Engineering-Specific Outcomes ,,,,Web Development-Specific Outcomes,,
Sftwr Engineer UML,"Develop a suitable object-oriented design based on requirements.
",,x,,,,,,,,,,,,,,,,,,,,,
,Identify strengths and weaknesses of different software designs.,,x,,,,,,,,,,,,,,,,x,,,,,
,Develop and apply appropriate tests for object-oriented software designs,,x,,,,,,,,,,,,,,,x,,,,,,
,Appreciate the need for designing and testing in effective software development,,x,,,,,,,,,,,,,,,x,,,,,,
GCIS_602_0A,,,,,,,,x,x,,,,,,,,,,,,,,,
Prof Qlty Mod:Research,Explain the research process as it applies to the MS-CIS curriculum,,,,,,,,x,,,,,,,,,,,,,,,
,Define research and scholarship approaches,,,,,,,x,,,,,,,,,,,,,,,,
,Use information resources competently,,,,,,,x,,,,,,,,,,,,,,,,
,Define a set of topics of personal interest and suitable for scholarly pursuit,,,,,,,x,,,,,,,,,,,,,,,,
GCIS_603_0A,,,,,,,,,x,x,,,,,,,,,,,,,,
Prof Qlty Mod:Prof Dev,To identify the dimensions and scenarios of professional behaviors,,,,,,,,,x,,,,,,,,,,,,,,
,"To assess the professional quality of a peer, procedure, practice, or interaction",,,,,,,,x,x,,,,,,,,,,,,,,
,To define appropriate alternative courses of actions for professional and ethical dilemmas,,,,,,,,,x,,,,,,,,,,,,,,
,To self-reflect to identify areas requiring further improvement,,,,,,,,x,,,,,,,,,,,,,,,
GCIS_611_0A,,,,,,,x,,,,,,,,,,,x,x,,x,,,
Software Project Mgmt,"1.Develop a plan for team development of a software application
",,,,,,x,,,,,,,,,,,,,,x,,,
,"2.Compare and contrast appropriate best practices in information system development
",,,,,,x,,,,,,,,,,,,x,,x,,,
,"3.Apply risk management techniques to the development of a software project
",,,,,,x,,,,,,,,,,,,x,,,,,
,"4.Identify project and product metrics applicable to the successful delivery of a software project
",,,,,,x,,,,,,,,,,,x,,,,,,
,"5.Identify ethical practices of systems development
",,,,,,x,,,,,,,,,,,x,,,,,,
GCIS_622_0A,,,,x,x,,,,,,x,x,,,,,,,,,,x,,x
Adv Web Programming,Understand the HTTP protocol and session handling.,,,x,,,,,,,x,,,,,,,,,,,,,
,Apply n-tier architecture in data-driven web application development.,,,,x,,,,,,x,,,,,,,,,,,,,x
,Understand and implement Model-View-Controller (MVC) patterns.,,,,x,,,,,,,x,,,,,,,,,,x,,
,Build and maintain web applications using content-management technologies.,,,x,,,,,,,,x,,,,,,,,,,x,,x
GCIS_635_0A,,,,x,x,,,,,,,,x,,,,,,,,,,,
Computer Vision,•  Have a general knowledge of computational approaches and paradigms in computer vision,,,,x,,,,,,,,x,,,,,,,,,,,
